starting_time,ending_time,starting_point,ending_point
2018-01-01 18:44:53,2018-01-01 18:49:00,43,161
2018-01-01 18:13:23,2018-01-01 18:23:37,234,163
2015-01-01 18:06:10,2015-01-01 18:10:55,237,43
2016-01-01 18:52:04,2016-01-01 19:03:29,244,41
2017-01-01 18:43:05,2017-01-01 19:04:29,243,48
2016-01-01 18:27:20,2016-01-01 18:43:10,236,48
2016-01-01 18:29:27,2016-01-01 18:39:06,163,142
2017-01-01 18:22:51,2017-01-01 18:42:15,163,170
2016-01-01 18:12:13,2016-01-01 18:25:10,234,48
2017-01-01 18:21:43,2017-01-01 18:29:23,170,186
2016-01-01 18:34:28,2016-01-01 18:43:36,234,50
2019-01-01 18:54:26,2019-01-01 19:04:34,186,170
2016-01-01 18:48:01,2016-01-01 18:55:37,239,48
2016-01-01 18:42:12,2016-01-01 18:45:44,161,163
2016-01-01 18:43:54,2016-01-01 18:56:41,142,43
2016-01-01 18:11:06,2016-01-01 18:16:21,236,237
2018-01-01 18:42:14,2018-01-01 18:47:56,68,48
2016-01-01 18:39:19,2016-01-01 18:46:03,74,236
2017-01-01 18:38:31,2017-01-01 18:44:32,236,43
2017-01-01 18:26:10,2017-01-01 18:36:58,170,68
2015-01-01 18:31:45,2015-01-01 18:58:50,237,48
2019-01-01 18:05:03,2019-01-01 18:11:57,186,113
2016-01-01 18:35:44,2016-01-01 18:41:27,237,43
2019-01-01 18:02:37,2019-01-01 18:04:47,161,237
2015-01-01 18:39:16,2015-01-01 18:44:40,237,239
2019-01-01 18:43:30,2019-01-01 18:55:27,161,236
2016-01-01 18:49:42,2016-01-01 19:07:29,68,79
2015-01-01 18:13:04,2015-01-01 18:25:28,170,163
2016-01-01 18:28:16,2016-01-01 18:32:07,74,41
2019-01-01 18:46:20,2019-01-01 18:52:40,142,237
2015-01-01 18:18:24,2015-01-01 18:27:36,142,236
2016-01-01 18:57:11,2016-01-01 19:05:59,74,41
2015-01-01 18:20:25,2015-01-01 18:26:10,50,48
2019-01-01 18:29:13,2019-01-01 18:37:45,43,237
2017-01-01 18:23:03,2017-01-01 18:53:00,142,244
2019-01-01 18:55:40,2019-01-01 19:06:45,239,68
2015-01-01 18:34:55,2015-01-01 18:42:34,236,140
2018-01-01 18:12:24,2018-01-01 18:23:45,68,239
2018-01-01 18:41:01,2018-01-01 18:44:20,186,234
2016-01-01 18:12:24,2016-01-01 18:17:13,236,237
2015-01-01 18:19:17,2015-01-01 18:30:04,50,161
2015-01-01 18:40:48,2015-01-01 18:46:55,79,170
2018-01-01 18:19:08,2018-01-01 18:33:05,236,186
2015-01-01 18:26:26,2015-01-01 18:40:14,88,79
2018-01-01 18:38:03,2018-01-01 18:42:58,142,48
2019-01-01 18:48:07,2019-01-01 18:54:26,113,79
2015-01-01 18:32:54,2015-01-01 18:39:23,170,161
2019-01-01 18:05:09,2019-01-01 18:07:03,234,170
2016-01-01 18:12:34,2016-01-01 18:32:41,79,239
2015-01-01 18:20:33,2015-01-01 18:41:06,79,161
2019-01-01 18:37:50,2019-01-01 18:52:50,186,163
2016-01-01 18:59:36,2016-01-01 19:11:29,79,68
2017-01-01 18:16:00,2017-01-01 18:20:42,234,113
2018-01-01 18:52:02,2018-01-01 18:56:04,142,239
2017-01-01 18:44:09,2017-01-01 18:47:38,142,239
2017-01-01 18:04:57,2017-01-01 18:14:01,237,236
2016-01-01 18:44:14,2016-01-01 18:55:09,239,48
2016-01-01 18:13:24,2016-01-01 18:16:56,239,142
2018-01-01 18:06:21,2018-01-01 18:28:48,79,231
2015-01-01 18:51:41,2015-01-01 19:05:52,43,113
2016-01-01 18:32:05,2016-01-01 18:35:04,236,237
2018-01-01 18:05:55,2018-01-01 18:11:32,74,41
2015-01-01 18:16:26,2015-01-01 18:20:24,161,237
2016-01-01 18:13:32,2016-01-01 18:20:21,140,170
2018-01-01 18:26:48,2018-01-01 18:32:32,79,234
2017-01-01 18:49:08,2017-01-01 18:51:35,142,237
2018-01-01 18:04:29,2018-01-01 18:09:31,113,79
2015-01-01 18:10:42,2015-01-01 18:16:08,50,142
2016-01-01 18:08:55,2016-01-01 18:19:30,79,186
2015-01-01 18:30:54,2015-01-01 18:41:51,237,142
2015-01-01 18:55:01,2015-01-01 19:06:12,239,140
2016-01-01 18:31:51,2016-01-01 18:38:41,48,234
2015-01-01 18:51:38,2015-01-01 18:59:23,236,239
2019-01-01 18:48:30,2019-01-01 19:02:44,161,142
2019-01-01 18:25:49,2019-01-01 18:30:02,50,142
2019-01-01 18:50:11,2019-01-01 18:54:58,161,237
2016-01-01 18:56:16,2016-01-01 19:04:54,142,236
2019-01-01 18:46:30,2019-01-01 19:02:00,186,140
2016-01-01 18:01:40,2016-01-01 18:07:00,237,142
2019-01-01 18:36:20,2019-01-01 18:48:01,140,43
2015-01-01 18:09:48,2015-01-01 18:18:02,41,74
2016-01-01 18:58:59,2016-01-01 19:04:04,239,142
2019-01-01 18:53:59,2019-01-01 19:07:53,68,79
2016-01-01 18:23:46,2016-01-01 18:34:13,234,161
2019-01-01 18:56:32,2019-01-01 19:02:26,43,239
2019-01-01 18:34:18,2019-01-01 18:39:26,48,142
2018-01-01 18:34:08,2018-01-01 18:41:15,79,68
2015-01-01 18:04:18,2015-01-01 18:12:50,113,161
2018-01-01 18:07:32,2018-01-01 18:22:21,234,161
2019-01-01 18:04:38,2019-01-01 18:10:38,163,142
2017-01-01 18:31:05,2017-01-01 18:37:31,161,140
2018-01-01 18:33:58,2018-01-01 18:51:56,239,232
2018-01-01 18:47:46,2018-01-01 18:52:06,142,50
2016-01-01 18:54:23,2016-01-01 19:03:10,79,234
2016-01-01 18:13:52,2016-01-01 18:32:46,142,231
2015-01-01 18:00:22,2015-01-01 18:04:46,186,234
2019-01-01 18:40:58,2019-01-01 18:56:53,48,74
2016-01-01 18:40:42,2016-01-01 18:45:16,68,234
2018-01-01 18:55:49,2018-01-01 19:04:11,68,48
2016-01-01 18:49:42,2016-01-01 19:01:35,186,163
2018-01-01 18:48:42,2018-01-01 18:56:55,161,236
2016-01-01 18:41:35,2016-01-01 18:46:43,236,237
2018-01-01 18:19:04,2018-01-01 18:37:33,68,161
2015-01-01 18:53:43,2015-01-01 19:59:13,237,48
2015-01-01 18:35:50,2015-01-01 18:39:06,142,239
2016-01-01 18:18:10,2016-01-01 18:24:15,161,234
2019-01-01 18:43:06,2019-01-01 18:52:24,236,142
2019-01-01 18:04:11,2019-01-01 18:14:47,170,50
2015-01-01 18:54:10,2015-01-01 19:07:52,161,48
2018-01-01 18:21:57,2018-01-01 18:36:00,161,68
2016-01-01 18:58:21,2016-01-01 19:18:16,239,161
2019-01-01 18:57:18,2019-01-01 19:12:45,79,231
2016-01-01 18:15:27,2016-01-01 18:20:18,79,234
2019-01-01 18:36:06,2019-01-01 18:46:18,50,237
2017-01-01 18:16:29,2017-01-01 18:26:42,113,68
2019-01-01 18:01:35,2019-01-01 18:30:51,41,161
2018-01-01 18:53:45,2018-01-01 18:56:10,142,239
2017-01-01 18:35:35,2017-01-01 18:50:09,68,79
2017-01-01 18:39:25,2017-01-01 18:46:43,161,186
2017-01-01 18:35:19,2017-01-01 18:40:19,237,236
2017-01-01 18:52:15,2017-01-01 18:59:33,170,79
2019-01-01 18:08:13,2019-01-01 18:15:18,237,142
2019-01-01 18:16:56,2019-01-01 18:21:33,161,170
2016-01-01 18:05:19,2016-01-01 18:18:21,43,161
2018-01-01 18:42:02,2018-01-01 18:52:50,231,79
2016-01-01 18:28:55,2016-01-01 18:32:40,236,237
2016-01-01 18:22:09,2016-01-01 18:26:57,170,237
2019-01-01 18:11:48,2019-01-01 18:20:44,142,48
2017-01-01 18:39:41,2017-01-01 18:53:15,234,161
2017-01-01 18:04:43,2017-01-01 18:07:22,237,236
2015-01-01 18:11:57,2015-01-01 18:18:19,74,41
2019-01-01 18:30:10,2019-01-01 18:47:00,186,163
2016-01-01 18:12:53,2016-01-01 18:23:13,48,237
2018-01-01 18:16:55,2018-01-01 18:22:59,79,113
2016-01-01 18:03:09,2016-01-01 18:09:03,234,170
2018-01-01 18:41:31,2018-01-01 18:49:00,163,170
2017-01-01 18:20:41,2017-01-01 18:24:31,79,170
2017-01-01 18:01:33,2017-01-01 18:10:38,170,161
2018-01-01 18:13:25,2018-01-01 18:16:01,236,237
2017-01-01 18:29:36,2017-01-01 18:52:34,234,43
2018-01-01 18:53:47,2018-01-01 19:07:30,186,237
2015-01-01 18:18:51,2015-01-01 18:35:53,161,231
2015-01-01 18:34:43,2015-01-01 18:38:58,237,161
2015-01-01 18:25:46,2015-01-01 18:30:54,234,79
2017-01-01 18:25:43,2017-01-01 18:39:26,239,74
2015-01-01 18:38:08,2015-01-01 18:49:23,231,186
2016-01-01 18:30:33,2016-01-01 18:45:03,236,186
2016-01-01 18:41:40,2016-01-01 18:48:30,236,239
2017-01-01 18:14:18,2017-01-01 18:23:43,48,68
2017-01-01 18:50:56,2017-01-01 18:54:52,239,142
2016-01-01 18:14:06,2016-01-01 18:23:16,68,234
2019-01-01 18:23:56,2019-01-01 18:28:27,186,170
2018-01-01 18:25:15,2018-01-01 18:32:45,237,142
2019-01-01 18:28:02,2019-01-01 18:37:08,48,68
2018-01-01 18:54:33,2018-01-01 18:59:55,142,236
2017-01-01 18:17:26,2017-01-01 18:27:27,68,79
