date,temperature_2m,precipitation,rain,snowfall,snow_depth,wind_speed_10m,holiday
2015/1/15 17:00,-0.06649999,0,0,0,0.01,9.6932955,0
2015/1/15 18:00,0.8335,0,0,0,0.01,11.901798,0
2015/1/15 19:00,0.93350005,0,0,0,0.01,12.964998,0
2015/1/15 20:00,1.0335,0,0,0,0.01,12.620554,0
2015/1/15 21:00,0.5335,0,0,0,0.01,9,0
2015/1/15 22:00,-1.1165,0,0,0,0.01,9.114471,0
2015/1/15 23:00,-2.4665,0,0,0,0.01,8.217153,0
2015/1/16 0:00,-3.2165,0,0,0,0.01,8.209263,0
2015/1/16 1:00,-3.4165,0,0,0,0.01,8.714677,0
2015/1/16 2:00,-3.5165,0,0,0,0.01,10.464797,0
2015/1/16 3:00,-3.7665,0,0,0,0.01,10.495713,0
2015/1/16 4:00,-3.9665,0,0,0,0.01,10.703569,0
2015/1/16 5:00,-4.0165,0,0,0,0.01,11.113451,0
2015/1/16 6:00,-3.9665,0,0,0,0.01,11.609651,0
2015/1/16 7:00,-3.6165,0,0,0,0.01,11.923557,0
2015/1/16 8:00,-3.4165,0,0,0,0.01,12.55879,0
2015/1/16 9:00,-3.2665,0,0,0,0.01,12.57426,0
2015/1/16 10:00,-3.1665,0,0,0,0.01,12.641076,0
2015/1/16 11:00,-3.1165,0,0,0,0.01,11.298495,0
2015/1/16 12:00,-3.1665,0,0,0,0.01,10.966713,0
2015/1/16 13:00,-2.8165,0,0,0,0.01,12.57426,0
2015/1/16 14:00,-0.9665,0,0,0,0.01,13.661038,0
2015/1/16 15:00,0.6835,0,0,0,0.01,15.716793,0
2015/1/16 16:00,1.9335,0,0,0,0.01,18.0036,0
2015/1/16 17:00,3.4335,0,0,0,0.01,22.702845,0
2015/1/16 18:00,4.3335,0,0,0,0.01,22.79684,0
2015/1/16 19:00,4.5835,0,0,0,0.01,22.065973,0
2015/1/16 20:00,3.7335,0,0,0,0.01,20.26899,0
2015/1/16 21:00,2.3335,0,0,0,0.01,20.898613,0
2015/1/16 22:00,0.13350001,0,0,0,0.01,19.8,0
2015/1/16 23:00,-1.7165,0,0,0,0.01,20.674156,0
2015/1/17 0:00,-3.2165,0,0,0,0.01,19.8,0
2015/1/17 1:00,-4.5665,0,0,0,0.01,20.240198,0
2015/1/17 2:00,-5.6165,0,0,0,0.01,19.8,0
2015/1/17 3:00,-6.3665,0,0,0,0.01,18.289274,0
2015/1/17 4:00,-6.9665,0,0,0,0.01,17.57744,0
2015/1/17 5:00,-7.4665,0,0,0,0.01,16.575644,0
2015/1/17 6:00,-7.9165,0,0,0,0.01,15.192682,0
2015/1/17 7:00,-7.8165,0,0,0,0.01,14.291592,0
2015/1/17 8:00,-7.9165,0,0,0,0.01,12.738099,0
2015/1/17 9:00,-8.0665,0,0,0,0.01,11.246759,0
2015/1/17 10:00,-8.216499,0,0,0,0.01,10.233123,0
2015/1/17 11:00,-8.4165,0,0,0,0.01,10.97262,0
2015/1/17 12:00,-8.6665,0,0,0,0.01,8.404285,0
2015/1/17 13:00,-8.716499,0,0,0,0.01,10.233123,0
2015/1/17 14:00,-7.9165,0,0,0,0.01,11.113451,0
2015/1/17 15:00,-6.8165,0,0,0,0.01,9,0
