date,hour,count
2019/2/16,1,6681
2019/2/16,2,5490
2019/2/16,3,3875
2019/2/16,4,2025
2019/2/16,5,1004
2019/2/16,6,1732
2019/2/16,7,2976
2019/2/16,8,5045
2019/2/16,9,6898
2019/2/16,10,8321
2019/2/16,11,9431
2019/2/16,12,10216
2019/2/16,13,10644
2019/2/16,14,9900
2019/2/16,15,10612
2019/2/16,16,10940
2019/2/16,17,11831
2019/2/16,18,12882
2019/2/16,19,12901
2019/2/16,20,10520
2019/2/16,21,10059
2019/2/16,22,11427
2019/2/16,23,10569
2019/2/17,0,9362
2019/2/17,1,7954
2019/2/17,2,6579
2019/2/17,3,4516
2019/2/17,4,2318
2019/2/17,5,880
2019/2/17,6,1166
2019/2/17,7,2094
2019/2/17,8,3876
2019/2/17,9,5525
2019/2/17,10,7558
2019/2/17,11,8584
2019/2/17,12,9702
2019/2/17,13,9983
2019/2/17,14,9625
2019/2/17,15,9700
2019/2/17,16,9893
2019/2/17,17,9857
2019/2/17,18,10246
2019/2/17,19,9311
2019/2/17,20,8066
2019/2/17,21,8544
2019/2/17,22,7403
2019/2/17,23,4838
2019/2/18,0,3516
2019/2/18,1,2321
2019/2/18,2,1528
2019/2/18,3,1063
2019/2/18,4,840
2019/2/18,5,868
2019/2/18,6,2064
2019/2/18,7,3357
2019/2/18,8,5659
2019/2/18,9,6541
2019/2/18,10,7231
2019/2/18,11,7886
2019/2/18,12,8687
2019/2/18,13,9079
2019/2/18,14,9735
2019/2/18,15,9839
2019/2/18,16,9527
2019/2/18,17,10526
